rodzaj gruntu;kategoria gleby;kategoria_id;od;do;dawka;name;potrzeba_id
orna;bardzo lekkie;1;0;4;3;konieczne;1
orna;lekkie;2;0;4,5;3,5;konieczne;1
orna;średnie;3;0;5;4,5;konieczne;1
orna;ciężkie;4;0;5,5;6;konieczne;1
orna;organiczne;5;0;4;3;konieczne;1
uz;bardzo lekkie;1;0;4,5;2;konieczne;1
uz;lekkie;2;0;4,5;2;konieczne;1
uz;średnie;3;0;4,5;2;konieczne;1
uz;ciężkie;4;0;4,5;2;konieczne;1
uz;organiczne;5;0;4;3;konieczne;1
orna;bardzo lekkie;1;4;4,5;2;potrzebne;2
orna;lekkie;2;4,5;5;2,5;potrzebne;2
orna;średnie;3;5;5,5;3;potrzebne;2
orna;ciężkie;4;5,5;6;3;potrzebne;2
orna;organiczne;5;4;4,5;3;potrzebne;2
uz;bardzo lekkie;1;4,5;5;1,5;potrzebne;2
uz;lekkie;2;4,5;5;1,5;potrzebne;2
uz;średnie;3;4,5;5;1,5;potrzebne;2
uz;ciężkie;4;4,5;5;1,5;potrzebne;2
uz;organiczne;5;4;4,5;3;potrzebne;2
orna;bardzo lekkie;1;4,5;5;1;wskazane;3
orna;lekkie;2;5;5,5;1,5;wskazane;3
orna;średnie;3;5,5;6;1,7;wskazane;3
orna;ciężkie;4;6;6,5;2;wskazane;3
orna;organiczne;5;4,5;5;2,5;wskazane;3
uz;bardzo lekkie;1;5;5,5;1;wskazane;3
uz;lekkie;2;5;5,5;1;wskazane;3
uz;średnie;3;5;5,5;1;wskazane;3
uz;ciężkie;4;5;5,5;1;wskazane;3
uz;organiczne;5;4,5;5;2,5;wskazane;3
orna;bardzo lekkie;1;5;5,5;-;ograniczone;4
orna;lekkie;2;5,5;6;-;ograniczone;4
orna;średnie;3;6;6,5;1;ograniczone;4
orna;ciężkie;4;6,5;7;1;ograniczone;4
orna;organiczne;5;-;-;-;ograniczone;4
uz;bardzo lekkie;1;5,5;6;0,5;ograniczone;4
uz;lekkie;2;5,5;6;0,5;ograniczone;4
uz;średnie;3;5,5;6;0,5;ograniczone;4
uz;ciężkie;4;5,5;6;0,5;ograniczone;4
uz;organiczne;5;-;-;-;ograniczone;4
orna;bardzo lekkie;1;5,5;100;-;zbędne;5
orna;lekkie;2;6;100;-;zbędne;5
orna;średnie;3;6,5;100;-;zbędne;5
orna;ciężkie;4;7;100;-;zbędne;5
orna;organiczne;5;-;-;-;zbędne;5
uz;bardzo lekkie;1;-;-;-;zbędne;5
uz;lekkie;2;-;-;-;zbędne;5
uz;średnie;3;-;-;-;zbędne;5
uz;ciężkie;4;-;-;-;zbędne;5
uz;organiczne;5;-;-;-;zbędne;5
