rodzaj gruntu;kategoria gleby;kategoria_id;od;do;dawka;name;potrzeba_id
orna;bardzo lekkie;1;0;4,5;1,5;konieczne;2
orna;bardzo lekkie;1;4,6;5,5;0,75;konieczne;2
orna;bardzo lekkie;1;5,6;6;0,5;konieczne;2
orna;lekkie;2;0;4,5;1,5;konieczne;2
orna;lekkie;2;4,6;5,5;0,75;konieczne;2
orna;lekkie;2;5,6;6;0,5;konieczne;2
orna;średnie;3;0;4,5;2;konieczne;2
orna;średnie;3;4,6;5,5;1,5;konieczne;2
orna;średnie;3;5,6;6;0,75;konieczne;2
orna;ciężkie;4;0;4,5;2,5;konieczne;2
orna;ciężkie;4;4,6;5,5;2;potrzebne;2
orna;ciężkie;4;5,6;6;1,5;potrzebne;2
orna;organiczne;5;0;4,5;2,5;potrzebne;2
orna;organiczne;5;4,6;5,5;2;potrzebne;2
orna;organiczne;5;5,6;6;1,5;potrzebne;2
